,market,hours_viewed_bin,churn,hbo_uuid,is_cancel
1,Spain,0.14700000000000002,0.10224983210208194,5956,609
4,Spain,0.198,0.10344827586206896,5684,588
7,Spain,0.2645,0.10640934844192634,5648,601
10,Spain,0.32899999999999996,0.09732225300092336,5415,527
13,Spain,0.38549999999999995,0.10483082339135537,5113,536
16,Spain,0.4435,0.10273579491103883,5227,537
19,Spain,0.504,0.09197860962566845,5610,516
22,Spain,0.579,0.10718593830777184,5803,622
25,Spain,0.6495,0.09767077706009003,5109,499
28,Spain,0.7070000000000001,0.10707773910160782,6033,646
31,Spain,0.7605,0.10232791827164629,5971,611
34,Spain,0.8089999999999999,0.09802620666777244,6029,591
37,Spain,0.861,0.10157837162056571,6399,650
40,Spain,0.9165,0.09304796599878568,6588,613
43,Spain,0.969,0.09150619495447082,6699,613
46,Spain,1.024,0.10071396020051648,6583,663
49,Spain,1.0870000000000002,0.09744779582366589,5603,546
52,Spain,1.159,0.09378881987577639,6440,604
55,Spain,1.236,0.09467841984982044,6126,580
58,Spain,1.3170000000000002,0.09917877447883765,6332,628
61,Spain,1.4055,0.09703973405097356,6317,613
64,Spain,1.498,0.09431210500729217,6171,582
67,Spain,1.5915,0.09357097390197326,6284,588
70,Spain,1.68,0.09015817223198594,5690,513
73,Spain,1.7675,0.09681112019623876,6115,592
76,Spain,1.8624999999999998,0.09589255036701547,6403,614
79,Spain,1.9635,0.08897637795275591,6350,565
82,Spain,2.0685000000000002,0.09281961471103327,6281,583
84,Spain,2.1784999999999997,0.09540356973621861,6331,604
86,Spain,2.293,0.10001567643831322,6379,638
89,Spain,2.409,0.09447111661762428,6457,610
91,Spain,2.5255,0.09095276220976782,6245,568
93,Spain,2.648,0.08903045369794904,6436,573
95,Spain,2.7775,0.09003771213073539,6364,573
98,Spain,2.912,0.09661606578115117,6324,611
101,Spain,3.0505,0.09207984546039923,6212,572
103,Spain,3.19,0.0901413025824265,6157,555
105,Spain,3.331,0.09221713538260301,6116,564
107,Spain,3.4735,0.0867579908675799,6132,532
109,Spain,3.6189999999999998,0.08585029546946815,6092,523
111,Spain,3.7715,0.0916030534351145,6157,564
113,Spain,3.9290000000000003,0.09330867518493612,5948,555
115,Spain,4.0855,0.09317424109492893,5699,531
117,Spain,4.235,0.09019832189168574,5244,473
119,Spain,4.393000000000001,0.0890875972843186,6039,538
121,Spain,4.5715,0.08888532991672005,6244,555
123,Spain,4.76,0.08889596941213956,6277,558
125,Spain,4.9544999999999995,0.08333333333333333,6108,509
128,Spain,5.1575,0.08500077555452148,6447,548
130,Spain,5.3755,0.08995344646343295,6659,599
132,Spain,5.6065000000000005,0.08271347813150848,6722,556
134,Spain,5.848000000000001,0.08490566037735849,6784,576
136,Spain,6.0975,0.07920360412730708,6881,545
138,Spain,6.358499999999999,0.08148360303594443,6983,569
140,Spain,6.632,0.08248009101251422,7032,580
142,Spain,6.9145,0.07911839502684374,7078,560
144,Spain,7.2085,0.08057880550432686,7049,568
146,Spain,7.513,0.08345080349591204,7094,592
148,Spain,7.828,0.0771380659586361,7156,552
150,Spain,8.1575,0.08126568162810148,7174,583
152,Spain,8.501999999999999,0.0801658604008293,7235,580
154,Spain,8.858,0.0855534193902774,7282,623
156,Spain,9.228,0.07470870459218643,7295,545
158,Spain,9.619,0.08045509955302722,7383,594
160,Spain,10.030999999999999,0.07751519243754221,7405,574
162,Spain,10.461500000000001,0.08020454851298614,7431,596
164,Spain,10.911000000000001,0.07429182255478353,7484,556
166,Spain,11.383500000000002,0.07543649206983873,7503,566
168,Spain,11.879999999999999,0.07702523240371846,7530,580
170,Spain,12.399,0.07803391626921038,7548,589
172,Spain,12.943999999999999,0.07350019864918554,7551,555
174,Spain,13.5215,0.07174770039421813,7610,546
176,Spain,14.135,0.07179487179487179,7605,546
178,Spain,14.786,0.07361238682587587,7621,561
180,Spain,15.477,0.07457404980340761,7630,569
182,Spain,16.195500000000003,0.07294394971189104,7636,557
184,Spain,16.941000000000003,0.07452521283562541,7635,569
186,Spain,17.733,0.076138147566719,7644,582
188,Spain,18.570999999999998,0.0700562018036858,7651,536
190,Spain,19.4595,0.07446113651208361,7655,570
192,Spain,20.411,0.07140992167101827,7660,547
194,Spain,21.408,0.0701983298538622,7664,538
196,Spain,22.472,0.07121429503065084,7667,546
198,Spain,23.6045,0.07396295330028699,7666,567
200,Spain,24.79,0.06713596662755833,7671,515
202,Spain,26.073999999999998,0.06936114732724902,7670,532
204,Spain,27.4585,0.06970684039087947,7675,535
206,Spain,28.9085,0.06962190352020861,7670,534
208,Spain,30.4615,0.06439838352235693,7671,494
210,Spain,32.138,0.06958561376075059,7674,534
212,Spain,33.945,0.06268734523654372,7673,481
214,Spain,35.911500000000004,0.0600729736773521,7674,461
216,Spain,38.047,0.06332247557003258,7675,486
217,Spain,40.3945,0.06201146430432517,7676,476
218,Spain,42.988,0.060854834506124576,7674,467
220,Spain,45.8625,0.06332247557003258,7675,486
222,Spain,49.164,0.059022801302931596,7675,453
224,Spain,53.0415,0.058884835852006254,7676,452
225,Spain,57.566,0.05784262636789995,7676,444
1,Portugal,0.1405,0.1974169741697417,542,107
4,Portugal,0.173,0.19029126213592232,515,98
6,Portugal,0.2155,0.18976545842217485,469,89
9,Portugal,0.26949999999999996,0.16632443531827515,487,81
11,Portugal,0.3205,0.17373737373737375,495,86
14,Portugal,0.3655,0.1792717086834734,357,64
16,Portugal,0.4135,0.1462882096069869,458,67
19,Portugal,0.46399999999999997,0.15565031982942432,469,73
21,Portugal,0.5215000000000001,0.166015625,512,85
24,Portugal,0.5900000000000001,0.1865079365079365,504,94
27,Portugal,0.65,0.16274089935760172,467,76
30,Portugal,0.7015,0.17142857142857143,525,90
32,Portugal,0.75,0.17547568710359407,473,83
35,Portugal,0.7965,0.15065913370998116,531,80
38,Portugal,0.8485,0.1592128801431127,559,89
40,Portugal,0.901,0.18370883882149047,577,106
43,Portugal,0.9475,0.18904593639575973,566,107
45,Portugal,0.9969999999999999,0.20430107526881722,558,114
47,Portugal,1.0539999999999998,0.15955473098330242,539,86
49,Portugal,1.1135,0.14256198347107438,484,69
51,Portugal,1.1804999999999999,0.14954954954954955,555,83
53,Portugal,1.2585000000000002,0.1651376146788991,545,90
55,Portugal,1.341,0.17625899280575538,556,98
57,Portugal,1.4264999999999999,0.13493530499075784,541,73
59,Portugal,1.5205000000000002,0.14857142857142858,525,78
61,Portugal,1.6165,0.16091954022988506,522,84
63,Portugal,1.703,0.15673289183222958,453,71
65,Portugal,1.7895,0.16793893129770993,524,88
67,Portugal,1.885,0.1534195933456562,541,83
69,Portugal,1.9874999999999998,0.1254681647940075,534,67
71,Portugal,2.0955,0.1676190476190476,525,88
73,Portugal,2.208,0.1482889733840304,526,78
75,Portugal,2.3245,0.1794871794871795,546,98
77,Portugal,2.444,0.17222222222222222,540,93
79,Portugal,2.5694999999999997,0.141804788213628,543,77
81,Portugal,2.7015000000000002,0.12267657992565056,538,66
83,Portugal,2.842,0.15977443609022557,532,85
85,Portugal,2.9939999999999998,0.17391304347826086,506,88
87,Portugal,3.1505,0.15122873345935728,529,80
89,Portugal,3.3025,0.09230769230769231,520,48
91,Portugal,3.4509999999999996,0.1436893203883495,515,74
93,Portugal,3.6085000000000003,0.12180746561886051,509,62
95,Portugal,3.7725,0.15984405458089668,513,82
97,Portugal,3.9385000000000003,0.1392156862745098,510,71
99,Portugal,4.103,0.12393162393162394,468,58
101,Portugal,4.256,0.14410480349344978,458,66
103,Portugal,4.4265,0.18147448015122875,529,96
105,Portugal,4.6274999999999995,0.13498098859315588,526,71
107,Portugal,4.8405000000000005,0.11428571428571428,560,64
109,Portugal,5.057,0.12431444241316271,547,68
111,Portugal,5.281499999999999,0.15156794425087108,574,87
113,Portugal,5.529,0.14745762711864407,590,87
115,Portugal,5.7945,0.1505922165820643,591,89
117,Portugal,6.0745000000000005,0.13898305084745763,590,82
119,Portugal,6.356,0.14023372287145242,599,84
121,Portugal,6.6515,0.1497504159733777,601,90
123,Portugal,6.986,0.13628899835796388,609,83
125,Portugal,7.3315,0.1260229132569558,611,77
127,Portugal,7.682,0.12479474548440066,609,76
129,Portugal,8.0485,0.10305958132045089,621,64
131,Portugal,8.4205,0.10526315789473684,627,66
133,Portugal,8.8065,0.1271860095389507,629,80
135,Portugal,9.214500000000001,0.1365079365079365,630,86
137,Portugal,9.649000000000001,0.12519809825673534,631,79
139,Portugal,10.1025,0.11216429699842022,633,71
141,Portugal,10.568999999999999,0.09262166405023547,637,59
143,Portugal,11.073,0.10426540284360189,633,66
145,Portugal,11.591999999999999,0.10764430577223089,641,69
147,Portugal,12.1345,0.11937984496124031,645,77
149,Portugal,12.7135,0.12130637636080871,643,78
151,Portugal,13.3285,0.11472868217054263,645,74
153,Portugal,13.9605,0.11645962732919254,644,75
155,Portugal,14.5905,0.12654320987654322,648,82
156,Portugal,15.2725,0.12422360248447205,644,80
158,Portugal,16.005499999999998,0.13664596273291926,644,88
160,Portugal,16.746000000000002,0.10559006211180125,644,68
162,Portugal,17.511000000000003,0.11419753086419752,648,74
163,Portugal,18.371000000000002,0.11162790697674418,645,72
165,Portugal,19.285,0.1021671826625387,646,66
167,Portugal,20.1875,0.10493827160493827,648,68
168,Portugal,21.1615,0.12037037037037036,648,78
169,Portugal,22.215,0.12364760432766615,647,80
171,Portugal,23.2885,0.1035548686244204,647,67
173,Portugal,24.4155,0.08641975308641975,648,56
174,Portugal,25.6155,0.1143740340030912,647,74
176,Portugal,26.8915,0.1095679012345679,648,71
177,Portugal,28.247500000000002,0.09722222222222222,648,63
178,Portugal,29.6785,0.10030864197530864,648,65
179,Portugal,31.286,0.08641975308641975,648,56
180,Portugal,33.038,0.10030864197530864,648,65
181,Portugal,34.8315,0.10200927357032458,647,66
183,Portugal,36.754,0.10185185185185185,648,66
184,Portugal,38.8365,0.10648148148148148,648,69
185,Portugal,41.0595,0.09722222222222222,648,63
186,Portugal,43.4585,0.0941358024691358,648,61
187,Portugal,46.2055,0.09567901234567901,648,62
188,Portugal,49.4185,0.07253086419753087,648,47
189,Portugal,53.1405,0.10339506172839506,648,67
190,Portugal,57.571,0.0724191063174114,649,47
1,Nordic,0.14150000000000001,0.09348842265463637,9199,860
4,Nordic,0.1765,0.08923633269517124,9402,839
7,Nordic,0.221,0.08966583422523487,8409,754
10,Nordic,0.27649999999999997,0.08934464875058934,8484,758
13,Nordic,0.3255,0.08265213442325159,8808,728
15,Nordic,0.364,0.08395550815175987,6563,551
18,Nordic,0.4075,0.08170833831798062,8359,683
21,Nordic,0.4515,0.08566252587991718,7728,662
24,Nordic,0.4935,0.07820149446019067,7762,607
27,Nordic,0.55,0.09118404839251708,8927,814
30,Nordic,0.6114999999999999,0.09062572154236896,8662,785
32,Nordic,0.6595,0.08197831978319783,7380,605
34,Nordic,0.7015,0.09041344843253067,8804,796
37,Nordic,0.743,0.08754908754908755,8658,758
40,Nordic,0.7815000000000001,0.08171070931849791,8628,705
43,Nordic,0.8235,0.08117319012702674,9683,786
45,Nordic,0.868,0.08319397993311037,9568,796
48,Nordic,0.911,0.08307405102675794,9642,801
50,Nordic,0.952,0.08139653936725709,9767,795
52,Nordic,0.9944999999999999,0.08548585485854858,9756,834
54,Nordic,1.041,0.08127465227319909,9634,783
56,Nordic,1.088,0.08161919831223628,7584,619
59,Nordic,1.1400000000000001,0.07936675461741424,9475,752
62,Nordic,1.199,0.08411618615700249,9261,779
65,Nordic,1.259,0.07753198872261982,9222,715
68,Nordic,1.322,0.07697993664202746,9470,729
71,Nordic,1.389,0.07432216905901116,9405,699
74,Nordic,1.4595,0.0808976464148878,9135,739
76,Nordic,1.5335,0.08232735182164219,9195,757
79,Nordic,1.6075,0.07642135014675508,9199,703
81,Nordic,1.678,0.08294986679583434,8258,685
83,Nordic,1.745,0.08570359281437126,8016,687
85,Nordic,1.8170000000000002,0.081681550860379,9182,750
87,Nordic,1.8980000000000001,0.07889848104032346,9151,722
89,Nordic,1.9825,0.0750082608216764,9079,681
91,Nordic,2.0685000000000002,0.07959319036038028,9046,720
93,Nordic,2.1574999999999998,0.0798790051534842,8926,713
95,Nordic,2.247,0.07330614094720145,8826,647
97,Nordic,2.3385,0.07929370475981574,9118,723
99,Nordic,2.433,0.07939819898967714,9106,723
101,Nordic,2.5295,0.07932607932607932,8547,678
103,Nordic,2.6325000000000003,0.07426856714178545,9331,693
105,Nordic,2.7405,0.078596947060734,9237,726
107,Nordic,2.852,0.08030827655534457,8953,719
109,Nordic,2.9654999999999996,0.07444419492476982,8906,663
112,Nordic,3.081,0.07786416647610336,8746,681
114,Nordic,3.199,0.0769934790069786,8741,673
116,Nordic,3.3185000000000002,0.07024310425432445,8556,601
118,Nordic,3.4405,0.07289185326345879,8396,612
120,Nordic,3.5655,0.07277023036030715,8465,616
122,Nordic,3.699,0.07874461817357807,8826,695
124,Nordic,3.84,0.07292741658066736,8721,636
126,Nordic,3.984,0.070977549111319,8552,607
128,Nordic,4.1235,0.07242960052390308,7635,553
130,Nordic,4.247,0.07689996996094924,6658,512
132,Nordic,4.384,0.07658976460943905,8539,654
134,Nordic,4.5495,0.07229324584228985,8839,639
136,Nordic,4.726,0.07319253547882446,8949,655
138,Nordic,4.9105,0.07134057565236869,8929,637
140,Nordic,5.1045,0.07176927343316694,9015,647
142,Nordic,5.3165,0.06877380829815712,9713,668
144,Nordic,5.547499999999999,0.07215972433363738,9867,712
146,Nordic,5.795999999999999,0.07510794256451452,9959,748
148,Nordic,6.0634999999999994,0.07306661371984513,10073,736
150,Nordic,6.352,0.06902912621359224,10300,711
152,Nordic,6.6575,0.07118709552786631,10353,737
154,Nordic,6.980499999999999,0.06937248128957973,10422,723
156,Nordic,7.3275,0.0728710230520099,10498,765
158,Nordic,7.695,0.07176168268773199,10507,754
160,Nordic,8.0835,0.07351159973912233,10733,789
162,Nordic,8.493500000000001,0.0691690491561376,10843,750
164,Nordic,8.925999999999998,0.06855357471053115,10882,746
166,Nordic,9.39,0.06618313689936536,11030,730
168,Nordic,9.89,0.06891879685665252,11071,763
170,Nordic,10.431999999999999,0.06548418883812596,11163,731
172,Nordic,11.01,0.06720886585038878,11189,752
174,Nordic,11.624500000000001,0.0707160669754186,11228,794
176,Nordic,12.284500000000001,0.06579532319729706,11247,740
178,Nordic,12.996500000000001,0.06655426390984116,11269,750
180,Nordic,13.7655,0.0674862904652397,11306,763
182,Nordic,14.597000000000001,0.06424778761061947,11300,726
184,Nordic,15.498000000000001,0.06933757849120015,11307,784
186,Nordic,16.4665,0.06542303951905225,11311,740
188,Nordic,17.503999999999998,0.06088723930717568,11316,689
190,Nordic,18.6205,0.06156699938168007,11321,697
192,Nordic,19.8385,0.06286975717439294,11325,712
194,Nordic,21.1615,0.06623101377605087,11324,750
196,Nordic,22.5925,0.06224066390041494,11327,705
198,Nordic,24.1535,0.05940506664312825,11329,673
199,Nordic,25.8735,0.05967514124293785,11328,676
201,Nordic,27.769,0.059223300970873784,11330,671
202,Nordic,29.841,0.057914717047761986,11327,656
204,Nordic,32.124,0.05922852855503575,11329,671
206,Nordic,34.6845,0.05569776679318563,11329,631
207,Nordic,37.6055,0.05163283318623124,11330,585
208,Nordic,40.986000000000004,0.05419240953221536,11330,614
209,Nordic,44.9765,0.048984995586937335,11330,555
210,Nordic,49.932,0.04792586054721977,11330,543
211,Nordic,56.3575,0.04413452202312649,11329,500
0,Netherlands,0.14400000000000002,0.07814992025518341,1254,98
3,Netherlands,0.187,0.0902555910543131,1252,113
5,Netherlands,0.245,0.09645131938125569,1099,106
7,Netherlands,0.3095,0.07234726688102894,1244,90
9,Netherlands,0.362,0.08342602892102335,899,75
11,Netherlands,0.42000000000000004,0.08050089445438283,1118,90
13,Netherlands,0.486,0.08634361233480176,1135,98
15,Netherlands,0.5555,0.08660130718954248,1224,106
17,Netherlands,0.628,0.076592082616179,1162,89
19,Netherlands,0.6859999999999999,0.07665805340223945,1161,89
21,Netherlands,0.733,0.08414239482200647,1236,104
24,Netherlands,0.7785,0.08041060735671514,1169,94
26,Netherlands,0.8280000000000001,0.08098068350668648,1346,109
28,Netherlands,0.88,0.07421289355322339,1334,99
30,Netherlands,0.9285,0.07750188111361926,1329,103
32,Netherlands,0.978,0.07623318385650224,1338,102
34,Netherlands,1.033,0.07900677200902935,1329,105
36,Netherlands,1.095,0.06830122591943957,1142,78
38,Netherlands,1.165,0.06909643128321943,1317,91
40,Netherlands,1.2414999999999998,0.05958132045088567,1242,74
42,Netherlands,1.3225,0.07418622255866768,1321,98
44,Netherlands,1.409,0.0732824427480916,1310,96
46,Netherlands,1.502,0.08236208236208237,1287,106
48,Netherlands,1.5965,0.05988967691095351,1269,76
50,Netherlands,1.6815,0.0636042402826855,1132,72
52,Netherlands,1.7645,0.0781758957654723,1228,96
54,Netherlands,1.8575,0.07032457496136012,1294,91
56,Netherlands,1.9575,0.06891151135473766,1277,88
58,Netherlands,2.0595,0.07776904948939513,1273,99
60,Netherlands,2.166,0.061708860759493674,1264,78
62,Netherlands,2.279,0.06645569620253164,1264,84
64,Netherlands,2.396,0.06235385814497272,1283,80
66,Netherlands,2.5145,0.06712962962962964,1296,87
68,Netherlands,2.6390000000000002,0.07170693686671863,1283,92
70,Netherlands,2.7720000000000002,0.05307692307692308,1300,69
72,Netherlands,2.9074999999999998,0.05542544886807182,1281,71
74,Netherlands,3.0465,0.06612903225806452,1240,82
76,Netherlands,3.1855,0.062193126022913256,1222,76
78,Netherlands,3.3274999999999997,0.057971014492753624,1242,72
80,Netherlands,3.4755,0.06307053941908713,1205,76
82,Netherlands,3.628,0.061499578770008424,1187,73
84,Netherlands,3.787,0.06628003314001657,1207,80
86,Netherlands,3.9515000000000002,0.060453400503778336,1191,72
88,Netherlands,4.1114999999999995,0.07208029197080291,1096,79
90,Netherlands,4.2620000000000005,0.07149666348903717,1049,75
92,Netherlands,4.429,0.055600322320709106,1241,69
94,Netherlands,4.62,0.05486862442040186,1294,71
96,Netherlands,4.827,0.0473559589581689,1267,60
98,Netherlands,5.041,0.05778120184899846,1298,75
100,Netherlands,5.266,0.05608856088560885,1355,76
102,Netherlands,5.5055,0.06030150753768844,1393,84
104,Netherlands,5.753,0.05737109658678286,1377,79
106,Netherlands,6.025,0.05803255484784147,1413,82
108,Netherlands,6.308999999999999,0.06419400855920114,1402,90
110,Netherlands,6.5945,0.05782792665726375,1418,82
112,Netherlands,6.897,0.04978962131837307,1426,71
114,Netherlands,7.2170000000000005,0.05230125523012552,1434,75
116,Netherlands,7.545999999999999,0.05509065550906555,1434,79
118,Netherlands,7.8915,0.060291060291060294,1443,87
120,Netherlands,8.2545,0.05031013094417643,1451,73
122,Netherlands,8.626000000000001,0.05151098901098901,1456,75
124,Netherlands,8.998999999999999,0.05122950819672131,1464,75
126,Netherlands,9.3925,0.05778382053025153,1471,85
128,Netherlands,9.82,0.0605245460659045,1487,90
130,Netherlands,10.2665,0.04915824915824916,1485,73
132,Netherlands,10.725,0.04417670682730924,1494,66
134,Netherlands,11.2025,0.0531628532974428,1486,79
136,Netherlands,11.7035,0.045576407506702415,1492,68
138,Netherlands,12.2325,0.05704697986577181,1490,85
140,Netherlands,12.7835,0.053475935828877004,1496,80
142,Netherlands,13.3505,0.0513675783855904,1499,77
144,Netherlands,13.940000000000001,0.048731642189586116,1498,73
146,Netherlands,14.543500000000002,0.0513675783855904,1499,77
148,Netherlands,15.1835,0.03266666666666666,1500,49
150,Netherlands,15.872499999999999,0.056074766355140186,1498,84
152,Netherlands,16.5745,0.03271028037383177,1498,49
154,Netherlands,17.323999999999998,0.0379746835443038,1501,57
155,Netherlands,18.119,0.04066666666666666,1500,61
157,Netherlands,18.9695,0.03935957304869913,1499,59
159,Netherlands,19.8915,0.051333333333333335,1500,77
161,Netherlands,20.8455,0.04469646430953969,1499,67
163,Netherlands,21.831,0.0313124583610926,1501,47
164,Netherlands,22.89,0.04336224149432955,1499,65
166,Netherlands,24.027500000000003,0.04730179880079947,1501,71
167,Netherlands,25.208,0.04863424383744171,1501,73
168,Netherlands,26.445,0.029980013324450366,1501,45
169,Netherlands,27.756,0.02798134576948701,1501,42
170,Netherlands,29.1355,0.03397734843437708,1501,51
171,Netherlands,30.5965,0.049966688874083946,1501,75
172,Netherlands,32.185500000000005,0.038640906062624915,1501,58
173,Netherlands,33.9035,0.04263824117255163,1501,64
174,Netherlands,35.739999999999995,0.027333333333333334,1500,41
176,Netherlands,37.7355,0.037308461025982675,1501,56
177,Netherlands,39.9535,0.02798134576948701,1501,42
178,Netherlands,42.465,0.03597601598934044,1501,54
179,Netherlands,45.388999999999996,0.03597601598934044,1501,54
180,Netherlands,48.726,0.02731512325116589,1501,41
181,Netherlands,52.6235,0.02465023317788141,1501,37
182,Netherlands,57.3815,0.03397734843437708,1501,51
1,Central Europe,0.14650000000000002,0.12811320754716982,5300,679
4,Central Europe,0.2,0.1225,5200,637
7,Central Europe,0.271,0.135,5000,675
10,Central Europe,0.33699999999999997,0.12424942263279445,4330,538
13,Central Europe,0.402,0.12494632889652212,4658,582
16,Central Europe,0.478,0.1265036086607859,4988,631
19,Central Europe,0.5605,0.11916902738432483,5295,631
22,Central Europe,0.6405000000000001,0.12856568903173965,4978,640
25,Central Europe,0.706,0.13500091962479308,5437,734
28,Central Europe,0.765,0.12298940761082777,5098,627
31,Central Europe,0.8245,0.1177841520258157,5578,657
34,Central Europe,0.888,0.1167611622962438,5644,659
37,Central Europe,0.9475,0.11257463997190024,5694,641
40,Central Europe,1.0075,0.12304995617879054,5705,702
43,Central Europe,1.0795,0.11874518860662048,5196,617
45,Central Europe,1.1635,0.12439591909790586,5587,695
48,Central Europe,1.2570000000000001,0.11816192560175055,5484,648
50,Central Europe,1.358,0.12133213321332133,5555,674
53,Central Europe,1.4634999999999998,0.12060484605574785,5489,662
55,Central Europe,1.5705,0.11608924360602213,5513,640
57,Central Europe,1.6735000000000002,0.123828125,5120,634
59,Central Europe,1.775,0.11499725325032045,5461,628
61,Central Europe,1.8835,0.12464080459770115,5568,694
63,Central Europe,1.9989999999999999,0.10920379839298758,5476,598
65,Central Europe,2.1205,0.11086515403062165,5421,601
67,Central Europe,2.246,0.11493614658523042,5403,621
69,Central Europe,2.3745000000000003,0.11544865864939871,5405,624
71,Central Europe,2.504,0.11735537190082644,5445,639
74,Central Europe,2.64,0.11752212389380531,5650,664
76,Central Europe,2.787,0.11194429566148902,5601,627
78,Central Europe,2.94,0.10818608005769924,5546,600
80,Central Europe,3.098,0.10952902519167579,5478,600
82,Central Europe,3.2595,0.11419808767815262,5543,633
84,Central Europe,3.423,0.10381624163501538,5529,574
86,Central Europe,3.591,0.10273972602739725,5402,555
88,Central Europe,3.7670000000000003,0.10255948089401586,5548,569
90,Central Europe,3.95,0.10397497239602503,5434,565
92,Central Europe,4.1305,0.10395747194329592,5079,528
94,Central Europe,4.311999999999999,0.10222138554216867,5312,543
96,Central Europe,4.510999999999999,0.1113652357494722,5684,633
98,Central Europe,4.7285,0.10608451692091882,5703,605
100,Central Europe,4.957000000000001,0.1022509160704938,5731,586
102,Central Europe,5.1945,0.10537963908750425,5874,619
104,Central Europe,5.442,0.09942509299966182,5914,588
106,Central Europe,5.7025,0.1016376836062806,5923,602
108,Central Europe,5.974,0.1050251256281407,5970,627
110,Central Europe,6.257,0.10608579980046558,6014,638
112,Central Europe,6.5515,0.10270899119162373,6017,618
114,Central Europe,6.8555,0.10526315789473684,6042,636
116,Central Europe,7.172000000000001,0.09973623475107155,6066,605
118,Central Europe,7.4975000000000005,0.10272052761747733,6065,623
120,Central Europe,7.8315,0.09930943768497205,6082,604
122,Central Europe,8.178999999999998,0.09312602291325696,6110,569
124,Central Europe,8.54,0.09406183543268444,6113,575
126,Central Europe,8.9105,0.1030035912504081,6126,631
128,Central Europe,9.2915,0.09711585465211015,6137,596
130,Central Europe,9.689499999999999,0.09373986376905612,6166,578
132,Central Europe,10.102,0.09232516631510627,6163,569
134,Central Europe,10.528,0.09148316062176166,6176,565
136,Central Europe,10.977,0.09455958549222798,6176,584
138,Central Europe,11.4465,0.09057092026524341,6183,560
140,Central Europe,11.931000000000001,0.09367416275683546,6181,579
142,Central Europe,12.433,0.09280517380759903,6185,574
144,Central Europe,12.9575,0.09148213997090673,6187,566
146,Central Europe,13.504000000000001,0.08612053643561157,6189,533
148,Central Europe,14.0775,0.0894702842377261,6192,554
150,Central Europe,14.6765,0.08403225806451613,6200,521
152,Central Europe,15.2945,0.09440051637889302,6197,585
154,Central Europe,15.9315,0.08448887455659465,6202,524
156,Central Europe,16.585,0.08841561794127138,6198,548
158,Central Europe,17.274,0.09363900548918308,6194,580
160,Central Europe,18.005000000000003,0.08482502822125464,6201,526
162,Central Europe,18.758499999999998,0.08610125765881974,6202,534
164,Central Europe,19.526,0.08950169327527818,6201,555
166,Central Europe,20.325,0.08017422164865301,6199,497
168,Central Europe,21.162,0.07673706271159117,6203,476
170,Central Europe,22.0415,0.08176100628930817,6201,507
172,Central Europe,22.956,0.08048387096774194,6200,499
174,Central Europe,23.896,0.08381689232753063,6204,520
175,Central Europe,24.869,0.08287649145436955,6202,514
177,Central Europe,25.8925,0.0735009671179884,6204,456
178,Central Europe,26.9805,0.07480251491213928,6203,464
180,Central Europe,28.125,0.07545952918413415,6202,468
182,Central Europe,29.319499999999998,0.07849774339136041,6204,487
183,Central Europe,30.558500000000002,0.07769181173436493,6204,482
184,Central Europe,31.8435,0.07673706271159117,6203,476
185,Central Europe,33.184,0.07495164410058026,6204,465
186,Central Europe,34.6065,0.07559638942617666,6204,469
187,Central Europe,36.1025,0.06820380522412126,6202,423
189,Central Europe,37.6625,0.07254554247944543,6203,450
191,Central Europe,39.32,0.07206190552958246,6203,447
192,Central Europe,41.0845,0.07046114156723637,6202,437
194,Central Europe,42.957,0.06914893617021277,6204,429
195,Central Europe,44.976,0.07093341931323553,6203,440
196,Central Europe,47.165000000000006,0.06592520954223081,6204,409
197,Central Europe,49.557500000000005,0.07172791747259832,6204,445
198,Central Europe,52.191500000000005,0.06659142212189616,6202,413
200,Central Europe,55.0655,0.06802063185041908,6204,422
201,Central Europe,58.281,0.06205673758865248,6204,385
