,source_title_name,series_title_long,search_title,legacy_hbomax_series_viewable_id,release_year,content_type
0,101 Places to Get F Up,101 Places to Party Before You Die,101 Places,GYw-6_w6fq0TDwwEAAAhq,2022.0,episode
0,A Dark Room In The Glitterball City,Down a Dark Hall,A Dark,GW_L0QwKaJL3DwgEAAADh,2018.0,
0,A HAUNTED HOUSE,A Haunted House 2,A HAUNTED HOUSE,GYF5TyQc4RBDDSgEAAACx,2014.0,
0,A Knight of the Seven Kingdoms S1,A Knight's Tale,A Knight,GYoejpgibYMJUwgEAAAAC,2001.0,
13,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Natalia Jimenez,A TINY,GXnU63Q3brJI9wwEAAAVD,2020.0,
17,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Natti Natasha,A TINY,GXnU68gPDbJI9wwEAAAVG,2020.0,
22,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Sebastian Yatra,A TINY,GXnU6yQlcJaFYqQEAAAVU,2020.0,
21,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Jesse & Joy,A TINY,GXnU7Gg3XIYCgwwEAAAXX,2020.0,
20,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Fonseca,A TINY,GXnU6qwSLw6FYqQEAAAVR,2020.0,
18,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Juanes,A TINY,GXnU7TwJJwoCgwwEAAAXc,2020.0,
16,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Ally Brooke,A TINY,GXnU6jA0ZfJI9wwEAAAU7,2020.0,
15,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Debi Nova,A TINY,GXnU60w0VeKFYqQEAAAVX,2020.0,
14,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: La Santa Cecilia,A TINY,GXnU7BgcQPaFYqQEAAAVa,2020.0,
19,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Diego Torres,A TINY,GXnU7JQIwJYCgwwEAAAXY,2020.0,
11,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Tommy Torres,A TINY,GXnU6dwPAWYCgwwEAAAXF,2020.0,
10,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Mon Laferte,A TINY,GXnU6gA7_DqFYqQEAAAVL,2020.0,
8,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Cami,A TINY,GXnU6vwb8GZI9wwEAAAU_,2020.0,
7,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Jackie Cruz,A TINY,GXnU7LwbqP5I9wwEAAAVP,2020.0,
5,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Danny Ocean,A TINY,GXnU66ALanqFYqQEAAAVZ,2020.0,
4,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Draco Rosa,A TINY,GXnU6jATGyoCgwwEAAAXH,2020.0,
2,A TINY AUDIENCE: GIANMARCO,A Tiny Audience,A TINY,GXcsTHA88FJuAuwEAAASx,2021.0,episode
1,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Alejandra Guzman,A TINY,GXnU6jQIOvJI9wwEAAAU8,2020.0,
0,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Piso 21,A TINY,GXnU7EAmZeoCgwwEAAAXU,2020.0,
6,A TINY AUDIENCE: GIANMARCO,A Tiny Audience: Vicente Garcia,A TINY,GXnU7RQB5g6FYqQEAAAVh,2020.0,
24,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Robin Hood,ADVENTURES OF,GXjS6Hg8UKo7CZgEAAAXd,1938.0,
26,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Milo and Otis,ADVENTURES OF,GYbvpzQixYwqEhgEAAANG,1989.0,
31,"ADVENTURES OF TOM SAWYER, THE","The Adventures of Ogú, Mampato and Rena",ADVENTURES OF,GYTMd-wXe6akfwgEAAAAQ,2023.0,
38,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Panda Warrior,ADVENTURES OF,GYJBUvA0bbBLDLAEAAAAD,2012.0,
37,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Batman,ADVENTURES OF,GY9HsKA1GJK-1mgEAAA0g,1968.0,
33,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Paddington,ADVENTURES OF,GYigtFwTWHcN9uAEAAAHK,2021.0,
44,"ADVENTURES OF TOM SAWYER, THE",Axel: Adventures Of The Spacekids,ADVENTURES OF,GYDlsrwaa3YefwgEAAACU,2017.0,
41,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Muelin and Perlita,ADVENTURES OF,GYVslcwvfTsJpwgEAAAAm,2013.0,
42,"ADVENTURES OF TOM SAWYER, THE",The True Adventures of Wolfboy,ADVENTURES OF,GYVKpsgGiYcLCwgEAAAAT,2019.0,
43,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Tintin,ADVENTURES OF,GYgqFhQSNHsM-kwEAAABT,2011.0,
11,"ADVENTURES OF TOM SAWYER, THE",The Marvelous Misadventures of Flapjack,ADVENTURES OF,GXnvh5wHKZBtjhQEAAARV,2009.0,episode
19,"ADVENTURES OF TOM SAWYER, THE",Tea War: The Adventures Of Robert Fortune,ADVENTURES OF,GXqyX4QBwGzqbswEAAATY,2016.0,
39,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Sharkboy and Lavagirl,ADVENTURES OF,GV4z_-gbJc7fDNQEAAAAj,2005.0,
36,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Elmo in Grouchland,ADVENTURES OF,GYbuuZAZKub68wwEAAANG,1999.0,
14,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Tintin,ADVENTURES OF,GYUI-7Aont78XYwEAAACQ,2011.0,
4,"ADVENTURES OF TOM SAWYER, THE",Far From Home: The Adventures of Yellow Dog,ADVENTURES OF,GXEIDEwS8pY0IvQEAAAF1,1995.0,
13,"ADVENTURES OF TOM SAWYER, THE",The Misadventures of Romesh Ranganathan,ADVENTURES OF,GXqSGFAt7cL2_wwEAAATm,2018.0,
0,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Batman,ADVENTURES OF,GYSgHAwuZMMLCwgEAAAA2,1968.0,
1,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Tom Thumb and Thumbelina,ADVENTURES OF,GXKTRWQFeJsPDwwEAAAB1,2019.0,
18,"ADVENTURES OF TOM SAWYER, THE",Adventures of Dally & Spanky,ADVENTURES OF,GYF4T3QX72YTCwgEAAAEc,2019.0,
5,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Pinocchio,ADVENTURES OF,GXtk_wA5uMcJHjQEAAAdk,1996.0,movie
2,"ADVENTURES OF TOM SAWYER, THE",The New Adventures of Old Christine,ADVENTURES OF,GYAcWjwZC0cIyQgEAAAAy,2006.0,
7,"ADVENTURES OF TOM SAWYER, THE",The Adventures of Mark Twain,ADVENTURES OF,GYnAUoglyTjBiYwEAAAFS,1944.0,
8,"ADVENTURES OF TOM SAWYER, THE",The Grim Adventures of Billy & Mandy,ADVENTURES OF,GX-Tu4ge5qAexgwEAAABd,2003.0,episode
10,"ADVENTURES OF TOM SAWYER, THE",The New Adventures of Superman,ADVENTURES OF,GYPk0ngDU6j5wlQEAAAAF,1967.0,
6,"ADVENTURES OF TOM SAWYER, THE",The Extraordinary Adventures of Adèle Blanc-Sec,ADVENTURES OF,GYUlrtghqmWmKlQEAAABl,2010.0,
3,"ADVENTURES OF TOM SAWYER, THE",Lois & Clark: The New Adventures of Superman,ADVENTURES OF,GYGde1QoSobzCwgEAAAAG,1993.0,episode
12,"ADVENTURES OF TOM SAWYER, THE",The Adventures of the Panda Warrior,ADVENTURES OF,GXHHayQOze4BThwEAAAGM,2019.0,
0,ALICE TELEFILM (3 EPS),Alice Telefilm Part 2: The Last Night,ALICE TELEFILM,GVU2rpwpsbFFvjSoJAU9k,2011.0,
1,ALICE TELEFILM (3 EPS),Alice Telefilm Part 1: The First Day of the Rest of My Life,ALICE TELEFILM,GVU2dYwSXbo7DwvwIAT_y,2011.0,
7,ALIEN: COVENANT,Ben 10: Alien X-Tinction,ALIEN ,GYUxs_Qjxd7-fwgEAAACp,2020.0,
5,ALIEN: COVENANT,Ben 10: Alien Swarm,ALIEN ,GYJWahQMHrGDDwgEAAAAh,2009.0,
8,ALIEN: COVENANT,Alien Resurrection,ALIEN ,GWi7mWAZoy46VPAEAAADh,1997.0,
4,ALIEN: COVENANT,Ben 10: Alien Force,ALIEN ,GXboXTwerO6OqkAEAAAhq,2008.0,episode
3,ALIEN: COVENANT,Alien Endgame,ALIEN ,GZQsOkAelrQmpuQEAAAAI,2022.0,
1,ALIEN: COVENANT,AVP: Alien vs. Predator,ALIEN ,GWi7mlQAySI6VPAEAAAD2,2004.0,
0,ALIEN: COVENANT,Alien Autopsy,ALIEN ,GYULd7gaRowDDwwEAAAMS,2006.0,
2,ALIEN: COVENANT,Alien 3,ALIEN ,GWi7miwW1X8PDwwEAAADi,1992.0,
0,ANNA AND THE KING,Anna and the Apocalypse,ANNA AND,GYeh6wgLXoag4qQEAAAAn,2017.0,
0,AWAY FROM HER,Let's Run Away From Her,AWAY FROM HER,GYk5S1wfPLZd7sgEAAAAH,2010.0,
0,All Rise Season 1-2,All Rise,All Rise,GYXw9KgNCvINQEgEAAABH,2020.0,episode
8,Aya,Never-Ending Man: Hayao Miyazaki,Aya,GX_NFKQeFKLLDaQEAAAAN,2016.0,movie
16,Aya,Marlon Wayans: You Know What It Is,Aya,GYQmScwklrsJRmQEAAACG,2021.0,standalone
12,Aya,Maya the Bee - The Movie,Aya,GYk2p5gB-IsPDwgEAAAAr,2014.0,
9,Aya,Maya the Bee,Aya,GYnKUXQW5x7nCwgEAAAG5,2012.0,
17,Aya,"One Nation Under Dog: Stories of Fear, Loss & Betrayal",Aya,GVU4HSgylQ1FvjSoJAbK-,2012.0,movie
6,Aya,While Aya Was Sleeping,Aya,GYk4P8gLoFqTCwwEAAAAN,2016.0,
7,Aya,Maya the Bee: The Honey Games,Aya,GYlXkEgf4065owwEAAACZ,2018.0,
4,Aya,Betrayal at Attica,Aya,GYOyU3QVWRKfCNgEAAAeF,2021.0,movie
3,Aya,Marlon Wayans: God Loves Me,Aya,GY_NWrwrSw6XCwgEAAAI_,2023.0,standalone
2,Aya,The Wayans Bros.,Aya,GX_yGHgt75MLDQQEAAAAC,1998.0,episode
1,Aya,Cinema Sabaya,Aya,GZG0gqg7jiaXCwgEAAAs8,2021.0,
0,Aya,Mayans M.C.,Aya,GYSY16gSdrsLCwwEAAAKW,2019.0,
19,Aya,Marlon Wayans Presents: The Headliners,Aya,GYkWyigApiMPCFwEAAAAE,2022.0,standalone
110,BEN,PSV Eindhoven vs Benfica Lisbon,BEN,GYRaQYQCx85s7wgEAAAAX,2021.0,
111,BEN,Portuguesa vs São Bento,BEN,GZHj-jwIqKHSfmgEAAAzi,2023.0,
113,BEN,Ben 10: Race Against Time,BEN,GXp30rwT20Lq4SAEAAAKy,2007.0,movie
114,BEN,Ben-Hur,BEN,GZTFztgiicsJMRAEAABNy,2016.0,
115,BEN,Highlights: Benfica vs M. Haifa,BEN,GYw5x_gSjqhbDwwEAAAiP,2022.0,
116,BEN,Friends with Benefits,BEN,GYRsnmQN9v4jDwgEAAAQE,2011.0,
117,BEN,Highlights: Benfica vs Inter Milan,BEN,GZCsGQwrGonSfmgEAAAaP,2023.0,
106,BEN,Benito Juárez: The Defeat of an Empire,BEN,GZN2ZzAetp8PDCAEAAAAJ,2017.0,
124,BEN,Real Sociedad vs Benfica,BEN,GZRNObwpnJJaQVgEAAA-h,2023.0,
123,BEN,Benfica Lisbon vs FC Dynamo Kiev,BEN,GYvbGdwWhX3cpuQEAAAMZ,2022.0,
125,BEN,Highlights: Benfica vs Juventus,BEN,GY0SOZQtZr6wsLgEAAACM,2022.0,
126,BEN,Benfica Lisbon vs FC Dynamo Kiev,BEN,GYTDprAoPn3fDwwEAAAAg,2021.0,
129,BEN,Benfica vs Club Brugge,BEN,GZHj-NA6bZriWtQEAAAvz,2023.0,
130,BEN,The Curious Case of Benjamin Button,BEN,GXx92Vw2dk60MlAEAAAEf,2008.0,
120,BEN,FC Dynamo Kiev vs Benfica Lisbon,BEN,GYS0PBw8ZPyqXugEAAAAK,2021.0,
109,BEN,Highlights: Club Brugge vs Benfica,BEN,GY90yGgJsy6aHgQEAAA7O,2023.0,
122,BEN,The Newspaperman: The Life and Times of Ben Bradlee,BEN,GWeEKjA6v3sNcawEAAAHl,2017.0,movie
107,BEN,Highlights: Benfica vs Juventus,BEN,GY0SNcgwhEaq2wgEAAAB0,2022.0,
99,BEN,Highlights: Benfica vs Real Sociedad,BEN,GZSRKywqjisMrwwEAABFF,2023.0,
96,BEN,Benfica Lisbon vs Maccabi Haifa FC,BEN,GYwzd8QkRcq3CwwEAAAdm,2022.0,
88,BEN,Ben 10: Ultimate Alien,BEN,GXbC2_QGyS5GYoAEAAAOZ,2011.0,episode
89,BEN,PSV Eindhoven vs Benfica Lisbon,BEN,GYRZ0zQMLQps7wgEAAAAM,2021.0,
90,BEN,FC Barcelona vs Benfica Lisbon,BEN,GYS_ldwWulUq5qgEAAAHk,2021.0,
91,BEN,Benfica Lisbon vs Liverpool FC,BEN,GYjoxNwE3z6COpQEAAADN,2022.0,
92,BEN,Real Sociedad vs Benfica,BEN,GZRYI8gfLwcMrwwEAABAY,2023.0,
93,BEN,Benfica Lisbon vs FC Barcelona,BEN,GYS1LTQttZ7KGtQEAAAAD,2021.0,
94,BEN,Highlights: M. Haifa vs Benfica,BEN,GY0iFXAM7iJC_wwEAAADp,2022.0,
108,BEN,Benfica Lisbon vs FC Barcelona,BEN,GYS0vRgo1xsIvwgEAAAAE,2021.0,
131,BEN,M. Haifa vs Benfica,BEN,GZHj-Fg3BSsPCLwEAABoo,2023.0,
121,BEN,Benfica vs Inter Milan,BEN,GZBjA2QSKX8PDwgEAABHl,2023.0,
100,BEN,Highlights: Benfica vs PSG,BEN,GYyoNgAPWfMLDDgEAAAGl,2022.0,
101,BEN,Highlights: Portuguesa vs São Bento,BEN,GY872pQgAtKithAEAAAAC,2023.0,
102,BEN,Highlights: Benfica vs Club Brugge,BEN,GY903WQdj1LiWtQEAAAC4,2023.0,
103,BEN,Highlights: Benfica vs Red Bull Salzburg,BEN,GZP9bswgLdpaQVgEAAAs9,2023.0,
104,BEN,Club Brugge vs Benfica,BEN,GY4YQ-QTKNpfDVQEAAALV,2023.0,
105,BEN,Highlights: São Bento vs Bragantino,BEN,GY873kQPBNZfDVQEAAAzF,2023.0,
95,BEN,Benfica vs Club Brugge,BEN,GY4Edugdgva-1mgEAAAHo,2023.0,
132,BEN,Highlights: Dínamo de Kiev vs Benfica,BEN,GYvqnLAhHEwXCwgEAAAQk,2022.0,
167,BEN,The Benchwarmers,BEN,GYEZmpQPTw8M8sgEAAAAQ,2006.0,movie
134,BEN,Highlights: Benfica vs Club Brugge,BEN,GY9029AVEIK-1mgEAAA4G,2023.0,
159,BEN,Highlights: PSG vs Benfica,BEN,GYytlHgCUop6fiQEAAAF9,2022.0,
161,BEN,Benfica vs Inter Milan,BEN,GZBnkuQ1QXbDCLQEAAAT8,2023.0,
164,BEN,Inter Milan vs Benfica,BEN,GZHj6jAC0uMLCwgEAABmC,2023.0,
154,BEN,Benfica Lisbon vs Bayern Munich,BEN,GYS_P2g3aeZWLgQEAAAFX,2021.0,
165,BEN,Inter Milan vs Benfica,BEN,GZBnoTgnJXq-1mgEAABJy,2023.0,
166,BEN,The Last Airbender,BEN,GYXOcFgpv18JneQEAAAC1,2010.0,
156,BEN,Benfica vs Real Sociedad,BEN,GZQzAxw07gMMpwgEAAAAD,2023.0,
157,BEN,Bayern Munich vs Benfica Lisbon,BEN,GYS-rnAnIGMMkOQEAAACU,2021.0,
158,BEN,FC Dynamo Kiev vs Benfica Lisbon,BEN,GYS0RggytwLG4qQEAAAAC,2021.0,
170,BEN,Benfica vs PSG,BEN,GZHj5HQ2OubDCLQEAAAvY,2023.0,
171,BEN,Juventus Turin vs Benfica Lisbon,BEN,GYw0JjAVJGBbDwwEAAAgd,2022.0,
173,BEN,FC Barcelona vs Benfica Lisbon,BEN,GYTEvhQKuaA6bdgEAAAEG,2021.0,
174,BEN,Bend It Like Beckham,BEN,GWPUmWQ3xJZ2-hAEAAABU,2003.0,
87,BEN,Benfica vs Ajax,BEN,GZHj2bgqfHKd9XQEAAAvg,2023.0,
168,BEN,Benfica vs Juventus,BEN,GYzHMWQ08c6LDwwEAAAAX,2022.0,
152,BEN,Inter Milan vs Benfica,BEN,GZBjElQBYwE6aKQEAAATm,2023.0,
169,BEN,Liverpool FC vs Benfica Lisbon,BEN,GYjt0YQ6UXsPCDgEAAAAy,2022.0,
155,BEN,PSG vs Benfica,BEN,GYxJmuge-okTDwwEAAAlm,2022.0,
133,BEN,Liverpool FC vs Benfica Lisbon,BEN,GYjoGFASGUZI8cgEAAACm,2022.0,
153,BEN,Red Bull Salzburg vs Benfica,BEN,GZSm4qghxFJaQVgEAABLy,2023.0,
136,BEN,Benfica vs Inter Milan,BEN,GZHj9pglXt7GYsAEAAAu_,2023.0,
137,BEN,Benedetta,BEN,GY2jiLQFZjkthwgEAAAEp,2021.0,
138,BEN,Inter Milan vs Benfica,BEN,GZPtBEQnCO8JMRAEAAAps,2023.0,
139,BEN,Benfica Lisbon vs Liverpool FC,BEN,GYjntQwjKFa-njgEAAABY,2022.0,
140,BEN,The Curious Case of Benjamin Button,BEN,GYHoIpAVHfVWknAEAAADY,2008.0,
141,BEN,"Ruben Brandt, Collector",BEN,GYk3klAqqcbfCWgEAAARZ,2018.0,
142,BEN,Benfica Lisbon vs Bayern Munich,BEN,GYS7LEgCE95rDwgEAAAD9,2021.0,
135,BEN,Highlights: Dínamo de Kiev vs Benfica,BEN,GYvqm3AAMWa3CwwEAAAOy,2022.0,
143,BEN,Inter Milano vs Benfica,BEN,GZPo2DgtnLILCJwEAAApt,2023.0,
145,BEN,13 Hours: The Secret Soldiers of Benghazi,BEN,GYUAzEAxkgrjDYQEAAACw,2016.0,
146,BEN,Someone Had to Be Benny: Lifestories: Families in Crisis Special,BEN,GVq3SowzZfJPDD5oIAACd,1996.0,movie
147,BEN,Benny & Joon,BEN,GXioZZQhxDoCnrwEAAAGa,1993.0,
148,BEN,Ben 10: Secret Of The Omnitrix,BEN,GYKf2vARWDqXCwgEAAAAx,2007.0,
150,BEN,Pettson & Findus - Katten och gubbens år,BEN,GYWWSngKMxLygwwEAAADe,1999.0,
151,BEN,Bendita Champions y los 12 Apóstoles,BEN,GY2FqNQ1A2adWwgEAAABZ,2022.0,
149,BEN,Benidorm,BEN,GYW7lgwEwoMN8sAEAAABE,2021.0,
144,BEN,Benfica Lisbon vs Ajax Amsterdam,BEN,GYfg6pQjJ9YDDTAEAAABO,2022.0,
112,BEN,Highlights: Benfica vs Red Bull Salzburg,BEN,GZP9oJw3UjsMrwwEAAArE,2023.0,
54,BEN,Beneath the Surface,BEN,GYo2FLwDZgsIougEAAAAC,2021.0,
172,BEN,Adult Swim x Ben & Jerry’s Present Holy Calamavote,BEN,GX4pblgowjcPCwwEAAAQI,2020.0,
40,BEN,Benfica x Dínamo de Kiev,BEN,GYTI-iwD6MqaAowEAAAAJ,2021.0,
20,BEN,Highlights: Juventus vs Benfica,BEN,GYxtq_QY5apa8kAEAAArK,2022.0,
21,BEN,Highlights: Benfica vs PSG,BEN,GYyoGRw10Q8ISwwEAAAAD,2022.0,
22,BEN,Ajax Amsterdam vs Benfica Lisbon,BEN,GYfmEswS8wMPCwwEAAABi,2022.0,
23,BEN,FC Dynamo Kiev vs Benfica Lisbon,BEN,GYvamlQbe8UTDwwEAAAMT,2022.0,
24,BEN,A West Wing Special To Benefit When We All Vote,BEN,GX4YOrQsIwGNViQEAAAGH,2020.0,standalone
26,BEN,Ben 10,BEN,GXmmNFAzEJyLCHAEAACDB,2006.0,episode
29,BEN,Highlights: São Bento vs Guarani,BEN,GY87u2wh5AcLCwgEAAAwP,2023.0,
84,BEN,Benfica Lisbon vs FC Dynamo Kiev,BEN,GYvaxOgRwJXcpuQEAAAMX,2022.0,
27,BEN,M. Haifa vs Benfica,BEN,GYzHv-A1j7JDDwgEAAABi,2022.0,
30,BEN,Benfica vs PSG,BEN,GYxEd9QtAdMLDwwEAAAAG,2022.0,
31,BEN,EC Sao Bento SP vs Guarani FC SP,BEN,GY7XrsQiA_JSgigEAAAlJ,2023.0,
32,BEN,Private Benjamin,BEN,GXmZz8QjLAyLCHAEAABkH,1980.0,movie
33,BEN,Highlights: Benfica vs Dynamo Kyiv,BEN,GYwA_iwfOycIYnAEAAAAD,2022.0,
34,BEN,Ajax vs Benfica,BEN,GZHjx8gkTrMPCLwEAABoA,2023.0,
35,BEN,Benfica vs Real Sociedad,BEN,GZRM9_QFB-sMrwwEAAA7Q,2023.0,
19,BEN,Benfica vs Inter Milan,BEN,GZRSMrgYn61PCGAEAAAAC,2023.0,
15,BEN,Benny's Video,BEN,GYgKtTgswhcMNwgEAAAKh,1992.0,movie
8,BEN,FC Dynamo Kiev vs Benfica Lisbon,BEN,GYvamaAad2QXCwgEAAAN7,2022.0,
36,BEN,Adult Swim x Ben & Jerrys Present Holy Calamavote - A Special Performance by Run The Jewels Trailer,BEN,GX4dsWAbKOcPCwwEAAAHq,2020.0,
38,BEN,Adult Swim x Ben & Jerrys Present Holy Calamavote - A Special Performance by Run The Jewels Trailer,BEN,GX4cg1gJMA8PCdwEAAAHE,2020.0,
16,BEN,EC Sao Bento SP vs Red Bull Bragantino SP,BEN,GY7XzZAuifsPDwgEAAAjX,2023.0,
0,BEN,Ben 10: Omniverse,BEN,GXmmNlAJRF8NVoAEAAAVy,2013.0,episode
2,BEN,What Lies Beneath,BEN,GYsxB6QaolcNewgEAAAWs,2000.0,movie
3,BEN,Yo No Me Llamo Ruben Blades (Ruben Blades is Not My Name),BEN,GXH7kygM9GcPCwwEAAABw,2019.0,
4,BEN,Benfica Lisbon vs Maccabi Haifa FC,BEN,GYwz0pwqPOcN_swEAAAAV,2022.0,
5,BEN,Juventus vs Benfica,BEN,GZHj7ywYkBMLCwwEAABsA,2023.0,
6,BEN,Highlights: Inter Milan vs Benfica,BEN,GZCyHHgS5QsPCLwEAABRX,2023.0,
28,BEN,Highlights: Benfica vs M. Haifa,BEN,GYw5yMAE8gXcpuQEAAAhk,2022.0,
